text,content,Does this content is relevant with text?
"The newspaper controlled by longtime Trump backer Rupert Murdoch called Jan. 6 ""national shame"" and ripped the ""King Lear of Mar-a-Lago"" for his inability to move forward.",politics,relevant
"The House minority leader said everybody bore ""some responsibility"" for the Capitol attack when asked if it was former President Donald Trump's fault.",politics,relevant
"In her Netflix documentary ""Halftime,"" the music superstar talks about her frustrations over the time constraints of 2020's co-headlining performance.",entertainment,relevant
His statement shows how Trump's inner circle failed to take concerns about the rule of law seriously.,politics,relevant
"""Parenting classes should focus less on diapers and more on what to do when you’re sad but still have to pretend to be a tugboat""",parenting,relevant
"""Black Adam"" explores the arch nemesis of Shazam.",entertainment,relevant
"The parents of the teenager, now 18, have reportedly filed paperwork asking a judge to issue an order of protection against “The Flash” star.",entertainment,relevant
Many felt Hanna Rosin's critique of Hulu's LGBTQ-inclusive comedy — which features many queer actors of color — was misdirected at best.,entertainment,relevant
Look beyond Heinz and elevate your fry game with these tasty condiments.,food,relevant
The Crown Prosecution Service did not reveal the name of the woman accusing Weinstein of sexual assault.,entertainment,relevant
"When you’re as busy as Snoop, a personal joint roller is a no-brainer.",entertainment,relevant
"The ""Moonlight"" actor tackles the heavyweight champ's triumphs and troubling controversies in ""Mike,"" an unauthorized bio-series due out Aug. 25.",entertainment,relevant
"The ""Riverdale"" star has millions of fans trying to get to the bottom of his funny post.",entertainment,relevant
The former Trump official griped that he was strip-searched after he was arrested for defying a subpoena.,politics,relevant
Nutritionists share how to enjoy a healthy midnight snack without destroying your night's sleep.,food,relevant
Ditch the discomfort down there with these dermatologist-recommended tips.,fashion,relevant
"""As divided as our country is, this gun responsibility issue is one that we agree on more than we don’t,"" said the actor, who hails from Uvalde, Texas.",politics,relevant
The two glowed at a red carpet outing more than two years after going public with their relationship.,entertainment,relevant
The Duffer Brothers said they had no intention of making one character’s birthday so sad.,entertainment,relevant
"""You’re only as good as the people that you work with,” Lopez said during her acceptance speech.",entertainment,relevant
The 4-year-old royal is the gift that keeps on giving.,entertainment,relevant
"Buttigieg shoots down Sen. Ted Cruz's ""insane"" single entrance strategy to end mass killings at schools.",politics,relevant
The reptile even received a kiss at the MTV Movie & TV Awards.,entertainment,relevant
The story behind a photo.,entertainment,relevant
"""I've never been part of negotiations as serious as these,"" he said of ongoing talks in the Senate. ""We are talking about a meaningful change in our gun laws.""",politics,relevant
"The former president destroyed the humor, the filmmaker grumbles.",politics,relevant
A president who boasted of his deal-making abilities has backed away from day-to-day congressional action on key issues.,politics,relevant
"The ""Kill Bill"" star took issue with Pinkett Smith's ""cold"" comments about the Oscars assault on her ""Red Table Talk"" show.",entertainment,relevant
"""Take your kids to the ocean so they can repeatedly ask to swim in the hotel pool.""",parenting,relevant
"This is a major change to firearm laws pushed, less than three weeks after authorities say an 18-year-old used one of the guns to kill 10 people at a supermarket in Buffalo.",politics,relevant
"Jason Selvig of the comedy duo Good Liars said he was so perplexed that he asked the question three times, hoping for a direct answer.",politics,relevant
"The reality star finally goes there on Hulu's ""The Kardashians.""",entertainment,relevant
"Pinkett Smith revealed that it was her ""deepest hope"" that the two men have the opportunity to ""heal"" and talk things out.",entertainment,relevant
"The veteran actor claims “'the fix was in"" when it came to picking a host to succeed Alex Trebek.",entertainment,relevant
"Tune in on July 20 to watch our panel discussion with union organizers from the Amazon, REI, Starbucks and Apple battles.",politics,relevant
Plus-size moms reveal the highs and lows of their breastfeeding journeys.,parenting,relevant
"Kathleen Buhle describes her ex-husband’s drug addiction, his infidelity and her challenges with the Biden family in her new memoir “If We Break.”",politics,relevant
"Zegler will play Lucy Gray Baird in “The Hunger Games: The Ballad of Songbirds and Snakes.""",entertainment,relevant
Drinking a pitcher of margaritas poolside hits different from an evening glass of wine. Three doctors explain exactly how.,food,relevant
"Trump, meanwhile, is blasting the special grand jury probe into his demand for extra Georgia votes after he lost the election.",politics,relevant
"“Can we stop all of it? No. Can we mitigate it? Certainly. And we should be doing that now,"" the Illinois Republican said of gun violence following last week's mass shooting.",politics,relevant
"""Shame on you, Abbott!"" a crowd member yelled as Abbott arrived with the Bidens at the school where 19 children and two teachers were killed.",politics,relevant
Doug Mastriano’s win in the Pennsylvania gubernatorial primary marks a high-profile victory for the movement.,politics,relevant
"The decision is a win for the Republican-dominated redistricting commission, which passed five straight sets of legislative maps that couldn’t meet constitutional muster.",politics,relevant
McCarthy's attorney argues in letter that the committee cannot issue subpoenas to the lawmakers under House rules.,politics,relevant
"""My 5yo is demanding I tell him where he lived when mommy and daddy were kids.""",parenting,relevant
"The governor said he made a campaign appearance after learning of the Uvalde school massacre so his supporters would ""know what happened.""",politics,relevant
"The folk-rock star said it would be ""disrespectful"" to play after the Uvalde massacre, but Donald Trump and other GOP politicians plan to go anyway.",entertainment,relevant
"Plus, pro tips that'll help you optimize every element of it.",food,relevant
"During her testimony, Amber Heard referred to a rumor that Depp had physically assaulted the supermodel when they dated in the 1990s.",entertainment,relevant
The Marvel star shut down speculation that she'd moved on with actor Will Poulter after they were photographed vacationing together.,entertainment,relevant
The incumbent Georgia governor will now face Democrat Stacey Abrams in a rematch of their 2018 election.,politics,relevant
"GOP Gov. Greg Abbott said what Texans need ""now more than ever is our love"" after a gunman killed 19 children and two teachers in Uvalde.",politics,relevant
"Chris Evans hunts down Ryan Gosling in the upcoming $200 million spy thriller from the Russo Brothers, which also stars Ana de Armas.",entertainment,relevant
"“This decision is perverse. It is illogical,” Supreme Court Justice Sonia Sotomayor wrote in her dissent in Shinn v. Ramirez.",politics,relevant
Donald Trump's former White House adviser told People that “love must come with respect and ... a modicum of class and dignity.”,politics,relevant
Experts explain the signs of melanoma to look out for on your skin.,fashion,relevant
"“Put simply, with minor exceptions, the government can’t tell a private person or entity what to say or how to say it,” said Circuit Judge Kevin Newsom said in the opinion.",politics,relevant
"“Downton Abbey: A New Era” made a strong opening showing, but there was no real blockbuster competition for “Doctor Strange.”",entertainment,relevant
"“Hi Rep. Boebert — Ask Rep Cawthorn about us. We look forwarding [sic] to getting to know you,"" American Muckrakers PAC wrote in an ominous tweet.",politics,relevant
"The ""Pam & Tommy"" star has changed his mind about space tourism.",entertainment,relevant
A meeting of the Conservative Political Action Conference in Budapest kicked off this week with prominent American conservatives in attendance.,politics,relevant
"""How dare Republicans demand civility as they strip away our civil rights?!?"" the ""Full Frontal"" host said.",entertainment,relevant
"""80% of parenting is trying not to laugh when you’re supposed to be mad""",parenting,relevant
"Scuttling Roe v. Wade is a ""good start"" to allowing ""our own people to live,"" Matt Schlapp told media at the conservative group's Budapest conference.",politics,relevant
"The first look at the upcoming film shows the music superstar's fears of still not being ""taken seriously"" all these years later.",entertainment,relevant
"The statement completely ignores the physical, emotional and financial costs of nursing — and women are bearing the expense.",parenting,relevant
"Whitney Henriquez said that, over time, Depp became ""vehemently"" opposed to his wife working in Hollywood.",entertainment,relevant
"Dave Filoni, an executive producer for the series, called the Grogu character a ""slam dunk"" in an interview with Vanity Fair.",entertainment,relevant
"She made a T-shirt about it, of course.",entertainment,relevant
The Christian nationalist who was near the Capitol during the Jan. 6 insurrection was endorsed by former President Donald Trump.,politics,relevant
"Don Gorske has eaten a Big Mac almost every day for 50 years ― more than 32,000 as of last August.",food,relevant
"The former president's Truth Social messages are being posted on Twitter, even though he's supposed to be permanently banned.",politics,relevant
The anti-lockdown guitar legend was warned he could “substantially delay his full recovery” if he continues touring.,entertainment,relevant
"“No one should waste their breath on the men in makeup at Fox when Rupert Murdoch is responsible for everything that they say and do,"" said the MSNBC anchor.",politics,relevant
"The House Intelligence Committee hearing follows a 2021 report of a possible national security ""challenge"" from UFOs.",politics,relevant
"Lucasfilm boss Kathleen Kennedy unveiled the ""road map"" for future projects, including a new Taika Waititi film and a series from director Jon Watts.",entertainment,relevant
"“It was raw, sharing our experience,” the musician told The Guardian in a new interview.",parenting,relevant
A subsidy boost for the Affordable Care Act that lowers prices for millions will end this year unless the federal government acts.,politics,relevant
"Should you opt for a leaner 90/10 ground beef mix, or a fattier 80/20 ground chuck? This is the number to keep in mind before you grill.",food,relevant
"“They’re biased, and they have likes and dislikes, and it’s so obvious,” the former first lady told Fox News in her first interview since leaving the White House.",politics,relevant
"When an individual’s mug shot goes viral on Facebook, they are often subjected to extreme harassment and struggle to find stable housing and employment.",technology,relevant
The “WandaVision” star made the bizarre claim during a lie detector test — and passed.,entertainment,relevant
"The New York Republican also argued against providing formula for migrant's babies and saw no contradiction with describing herself as ""pro-life.""",politics,relevant
"“You want to hang Mike Pence, not hang up on him,"" cracked ""Daily Show"" correspondent Desi Lydic in the parody ad.",entertainment,relevant
The Texas Republican talked about GOP candidates having Trump tattooed on their rear ends and got some blunt reminders in response.,politics,relevant
The Oscars co-host bared her simmering anger during a gig in Florida.,entertainment,relevant
"""DON'T EVEN pretend you care about Veterans,"" a veterans group hit back at the extremist North Carolina Republican.",politics,relevant
"""My car was making annoying squeaky noises, it stopped once I dropped off the kids""",parenting,relevant
Herbster had the strong support of former President Donald Trump in the Nebraska race.,politics,relevant
"“Without access, rights mean nothing,” Gov. Phil Murphy told legislators Wednesday.",politics,relevant
The Missouri Democratic congresswoman has shared her own story getting an abortion after she was raped as a teenager.,politics,relevant
"Unlike other worker-friendly measures, this one doesn't need the Senate to sign off on it, too.",politics,relevant
"It wasn’t immediately clear who vandalized the building, but the message “If abortions aren’t safe then you aren’t either” was spray-painted on the building.",politics,relevant
The House committee's investigation is winding down but it has yet to decide on whether to talk to the former president and former vice president about the violence.,politics,relevant
"""What other freedoms will Americans see retracted if the right to privacy ends in America?"" Linda Coffee wrote in The New Republic.",politics,relevant
"The Ms. Pac-Man arcade game was released in 1981 as a follow-up to Pac-Man, which entered the hall as part of the inaugural class in 2015.",entertainment,relevant
Brown’s second consecutive victory over former state Sen. Nina Turner was widely anticipated.,politics,relevant
"The ""Hillbilly Elegy"" author snatched the GOP nomination with Donald Trump's help — the first major test of the former president's endorsement power in the midterms.",politics,relevant
"Duran Duran, Pat Benatar, Eurythmics and Carly Simon are also among this year's inductees.",entertainment,relevant
The potential demise of Roe v. Wade will heighten the stakes of state legislative races this fall as the GOP fights abortion rights and Democrats defend them.,politics,relevant
New Academy Award winner and Tony Award nominee Ariana DeBose will host this year’s Tony Awards.,entertainment,relevant
"The races, particularly in Ohio, could provide a fresh window into former President Trump's sway among the party faithful.",politics,relevant
The issue of abortion access will be felt immediately in states with GOP-controlled legislatures like Michigan and Pennsylvania.,politics,relevant
"Raskin said it appears the opinion, which he noted looks authentic, would eliminate all rights to any abortion.",politics,relevant
"“Abortion is health care,” reproductive rights advocates chanted after Politico reported that the high court planned to overturn Roe v. Wade.",politics,relevant
"“If the Court does overturn Roe, it will fall on our nation’s elected officials at all levels of government to protect a woman’s right to choose,” Biden said.",politics,relevant
Arena is launching mass trainings in Arizona and Texas.,politics,relevant
"Critics on Twitter complained that accurate, helpful sex ed was often not provided in homes.",politics,relevant
The DreamWorks animated heist movie “The Bad Guys” was the top film in U.S. and Canada theaters for the second straight weekend.,entertainment,relevant
The House Speaker was the most senior American lawmaker to visit Ukraine since Russia’s war began more than two months ago.,politics,relevant
"""It was a grab. ... It was like he knew that I couldn’t say anything,"" the ex-legislative assistant said about Trump-backed gubernatorial candidate Charles Herbster.",politics,relevant
"The conservative Democrat appeared in an ad for Rep. David McKinley, who is facing Trump-endorsed Rep. Alex Mooney in a GOP primary.",politics,relevant
"""I want to give them some stability after the turmoil that they’ve experienced, and that’s within my home,"" said the ""Dr. Strange"" star.",entertainment,relevant
The former Trump White House chief of staff also accused the committee of of waging a “sustained media campaign” against him.,politics,relevant
"Increasing Republican attacks on the nation's schools are not reflected in how most parents view their kids' education, the poll said.",academic,relevant
Jurors went home Friday without reaching a verdict after their first full day of deliberations.,entertainment,relevant
"""Damn! Mark Meadows, you are messy,” she said. “Delete my number!”",entertainment,relevant
The Season 17 champ is accused of planting a recording device in his ex-girlfriend's dorm room.,entertainment,relevant
"The country music icon previously said she wanted to withdraw her 2022 nomination because she hadn't ""earned that right.""",entertainment,relevant
"The ""Late Night"" host highlighted an exchange on Fox News that suggests the site isn’t doing too well.",entertainment,relevant
"The embattled far-right House member tried to explain her ""Marshall law"" text and we're confused.",politics,relevant
"The country music star's role in the Netflix show's final season will ""knock your socks off,"" Fonda promised.",entertainment,relevant
Former reality star Chyna is suing the Kardashians for allegedly spreading false reports of the assault to get her show canceled.,entertainment,relevant
"Evan McLaren marched at the deadly 2017 Charlottesville rally. Now he's voicing “revulsion” for his former movement, and ""for conservatism"" in general.",politics,relevant
A one-sided feud between Musk and Vijaya Gadde has turned even uglier.,technology,relevant
Oklahoma GOP Chair John Bennett's comments advocating violence against the top infectious disease expert earned him applause at a campaign event.,politics,relevant
"""You had one job,"" the ""Daily Show"" host cracked.",entertainment,relevant
"Four creators share exactly how much they get paid, and what's expected of them.",fashion,relevant
"Frank Figliuzzi said the Fox News personality's parroting of Russian propaganda has ""gone way beyond free speech.""",politics,relevant
"Mary Trump rips her ""severely damaged"" uncle.",politics,relevant
The same lotions and products that you used in the winter won't necessarily work as your skin reacts to the warmer weather.,fashion,relevant
"""Harry is whipped like no person I've ever seen,"" the former president said.",politics,relevant
"The former host of ""The Daily Show"" is the latest recipient of the Mark Twain prize for lifetime achievement in comedy.",entertainment,relevant
"""I don’t know if he could shoot me and kill me,"" the rapper said in her first TV interview about the incident.",entertainment,relevant
The man was accused of posting anti-trans messages and making violent threats in comments under the dictionary website’s definition for “female.”,politics,relevant
"It’s been nearly a year since the U.S. announced support for waiving vaccine patents, but influential countries have yet to release a possible agreement.",politics,relevant
The president’s drug control strategy will emphasize harm reduction.,politics,relevant
"""The Daily Show"" comedian headed to Hungary to find out why Trump supporters are so obsessed with the European country.",entertainment,relevant
"""If they succeed, you can kiss our democracy goodbye,"" cautioned Clinton-era Cabinet member Robert Reich.",politics,relevant
"The late-night host nails why ""tech tyrants"" don't care about Truth Social.",entertainment,relevant
"During a traffic stop, a North Carolina state trooper discovered the congressman's license was suspended.",politics,relevant
"The White House press secretary said the CDC continues to recommend mask-wearing on airplanes, even as carriers dropped mask requirements.",politics,relevant
"Andy Parker, whose daughter was killed during a live broadcast in 2015, sought to enter the Democratic primary in an effort to unseat GOP Rep. Bob Good.",politics,relevant
"The appeal of the federal judge's decision will only happen if the CDC says the mask order is needed beyond May 3, when the mandate was expected to expire.",politics,relevant
The Biden administration wants more IRS funding to boost tax collection and improve service.,politics,relevant
"The Bidens kicked off the first White House Easter Egg Roll since before the coronavirus pandemic, welcoming 30,000 kids and adults for the all-day event.",politics,relevant
"She also addressed rumors that she's ""dating every little white boy in Hollywood.""",entertainment,relevant
The late Martha Wright-Reed became a phone justice activist after having to choose between paying for her medication and speaking with her grandson.,politics,relevant
"The Florida governor repeated the lie that the fetal remains were the size of ""basically infants.""",politics,relevant
The senior policy adviser behind many of Trump's policy decisions had resisted previous efforts by the House committee investigating the insurrection.,politics,relevant
"The breath test, which is administered by health care providers, can provide results in under three minutes.",politics,relevant
"Premiering on Netflix on April 22, the eight-episode series is based on Alice Oseman's beloved web-comic-turned-graphic-novel.",entertainment,relevant
Some sources claim the white substance was actually distillers grain.,politics,relevant
The latest Capitol riot defendant to go on trial is blaming his actions on the former president and his false claims about a stolen election.,politics,relevant
Marvel says the new comic book series will kick off with everyone's favorite A-List Avengers.,entertainment,relevant
"""I am saying anything I want at my live shows,"" the ""Life & Beth"" star told followers on Tuesday.",entertainment,relevant
A mysterious investor group parked a fortune in gold bricks near JFK Airport. They say it’s good for the neighborhood — and hope to snag a giant tax break.,politics,relevant
"The Justice Department’s decision is part of an effort to protect confidential information that may compromise an ongoing investigation, a source told the Associated Press.",politics,relevant
"The extremist congresswoman claimed Americans are ""fed up"" with hearing about the Jan. 6, 2021, insurrection that happened just that once.",politics,relevant
"Marc Rasella says he sold shares of Twitter at “artificially deflated prices,” unaware that Musk had made a large purchase in the social media platform.",technology,relevant
The president told his Rose Garden audience he is cracking down on so-called “ghost guns.”,politics,relevant
"Everybody there ""loves him,"" a Washington Post journalist revealed after interviewing Trump at his resort home.",politics,relevant
"The state will end a restriction that only physicians can provide abortions. An abortion care training program will also be created, with $3.5 million in annual funding.",politics,relevant
"The Portage County fairgrounds has a ""long-standing policy"" of not hosting political rallies, a county commissioner said.",politics,relevant
"On the other hand, ""I'm Black, from cradle to grave,"" the Georgia congressional candidate told Steve Bannon. ""I don't have a choice.""",politics,relevant
"Writer and actor Charles Gould says ""Flex,"" which debuts next week, reflects the experience of someone who has had ""their identity questioned their whole life.""",entertainment,relevant
A record number of books with racial or LGBTQ themes have been challenged.,politics,relevant
This social media battle between the congresswoman and the comedian just may be our new favorite non-contact sport.,politics,relevant
"The comedian retaliated by reporting the ""supervillain"" congresswoman to Batman during his monologue.",entertainment,relevant
The lawyers wrote in papers filed in Manhattan federal court that the alleged events Rapp described never occurred.,entertainment,relevant
"""It was Meghan's choice,"" the actor said of the Duchess of Sussex's song selection that stirred guests after her royal nuptials with Prince Harry.",entertainment,relevant
The Texas Republican was also featured in Kimmel's parody of Barack Obama's new Netflix series.,entertainment,relevant
The governor's dubious plan follows the Biden administration lifting a public health policy that limited asylum-seekers from entering the U.S.,politics,relevant
The Kentucky senator held up the vote for more than 15 minutes before sticking his hand through a door and voting no.,politics,relevant
The tennis superstar detailed how she saved her own life by pushing back against hospital staff after they told her she was “crazy.”,entertainment,relevant
Former Trump administration officials are pressing Republican border governors to declare an “invasion” along the U.S.-Mexico border.,politics,relevant
The actor visited the right-wing Fox News host for a chat about the war in Ukraine.,entertainment,relevant
"From puppy dog eyeliner to a trick that makes your hyaluronic acid work better, see how they fared.",fashion,relevant
"A judge said John Eastman appeared to be part of a ""campaign to overturn a democratic election, an action unprecedented in American history.”",politics,relevant
"The model was quick to correct reports that surfaced shortly after she attended the 2022 Grammy Awards alongside her husband, Justin Bieber.",entertainment,relevant
The actor showed off her mother’s fried chicken recipe — and the internet is absolutely horrified with her cooking skills.,entertainment,relevant
"The Missouri Republican does not use the same language as the more zealous members of his party — but he doesn’t like to contradict them, either.",politics,relevant
"Rapper Tory Lanez, who allegedly shot Megan Thee Stallion in 2020, was ordered to post higher bail for tweeting about the case.",entertainment,relevant
The longtime Michigan congressman said he won't seek another term.,politics,relevant
"""Tell the truth about the war on your social networks and TV. But not silence,"" the politician said in a powerful pre-taped message.",entertainment,relevant
The stark warning comes as Russia’s war further hinders efforts to confront global warming and its mounting impacts.,politics,relevant
A megachurch hosted the Kremlin-positive Fox News host — just as horrifying images of murdered civilians in Ukraine emerged.,politics,relevant
"After the glitz and glam of last week's Oscars, the stars let loose this weekend at the Grammys.",entertainment,relevant
"The controversial comedian won for comedy album with “Sincerely Louis C.K.,” beating out other so-called canceled comedians Dave Chappelle and Kevin Hart.",entertainment,relevant
"A decade after her failed vice presidential bid, the former Alaska governor is running to replace conservative GOP Rep. Don Young, who died last week.",politics,relevant
Something you just can't unsee.,politics,relevant
"The Gays for Trump founder said the former president was probably expecting to see the ""stereotypical"" gay who fits with the ""typical 'look' of leftist LGBT.""",politics,relevant
"The actor described his on-stage assault of Chris Rock at the Academy Awards as ""shocking, painful and inexcusable.""",entertainment,relevant
"A challenge filed last month with the Georgia secretary of state’s office alleges the congresswoman helped facilitate the Jan. 6, 2021, riot on Capitol Hill.",politics,relevant
The NBA legend's essay gave a Hall of Fame scolding to the Oscar winner for hitting Chris Rock.,entertainment,relevant
You'll never un-hear this one.,entertainment,relevant
"Sen. Dick Durbin (D-Ill.) also told reporters that the GOP treatment of Jackson was ""disgusting.""",politics,relevant
Law enforcement appeared at his mansion just days after the actor assaulted Chris Rock during the Oscars.,entertainment,relevant
"Jessica Cisneros, a progressive challenging Rep. Henry Cuellar (D), argues that Laredo’s water infrastructure should have improved more during Cuellar’s tenure.",politics,relevant
They’re cooler and more accommodating than those elastic-waisted pants.,fashion,relevant
"""Why should I tell you?"" Biden responded when Doocy asked for specifics on the U.S. response to a possible Russian chemical attack on Ukraine.",politics,relevant
The late-night host also praised Chris Rock.,entertainment,relevant
"""Wouldn't disrespect that queen like that,"" the comedian said of the backlash she received for an awkward bit she did at the ceremony.",entertainment,relevant
The filmmaker’s victory also marks the first time the directing award has gone to women in back-to-back years.,entertainment,relevant
"It's unlikely that playgoers will see the former first lady on stage. The Giant does not appear on stage, and the voice part is usually prerecorded.",entertainment,relevant
Chris Rock wasn’t the only comedian at the Academy Awards who made a joke that led to a truly awkward moment.,entertainment,relevant
The reality TV mogul expressed regret over her controversial advice to women in business after facing major backlash.,entertainment,relevant
"“This is the smallest crowd I’ve seen at a rally of his in Georgia since he won the 2016 election,"" one local politics reporter said.",politics,relevant
"""Now we all have to worry about who wants to be the next Will Smith in comedy clubs and theaters,"" wrote Kathy Griffin.",entertainment,relevant
"The ""Eyes of Tammy Faye"" star wore a stunning lavender gown by Gucci.",entertainment,relevant
"Oksana Markarova said Ukraine is ready to negotiate a peace agreement with Russia, but that the country will not give up its territories to reach a deal.",politics,relevant
The introduction of the minimum tax on the wealthiest Americans would represent a significant reorienting of the tax code.,politics,relevant
"The Florida Republican tried to write off his proposal to hike taxes for millions of Americans as ""Democrat talking points.""",politics,relevant
"""CODA"" triumphed with a history-making win at the end of an unusually chaotic ceremony.",entertainment,relevant
Warrants were executed on two of Eliot Cutler’s homes earlier in the week.,politics,relevant
"But he does have a ""lot of aggression,"" Cawthorn acknowledges in an appearance at a North Carolina GOP men's club event.",politics,relevant
"Introducing… “Cruz Missile PR.""",entertainment,relevant
"The charges, sealed since 2021, make “crystal clear the urgent ongoing need for American businesses to harden their defenses,” the Justice Department said.",politics,relevant
President Joe Biden paid tribute to Poland for giving refuge to more than 2 million Ukrainians who have fled their country since Russia’s invasion.,politics,relevant
"Manchin has announced his intention to support the nomination of Ketanji Brown Jackson, pushing her one step closer to confirmation.",politics,relevant
"The Biden administration asked the Republican Senate candidates to resign or be removed from the council on sports, fitness and nutrition.",politics,relevant
Desi Lydic offered her own commentary on the Supreme Court nominee after pretending to binge-watch the conservative network.,entertainment,relevant
The Texas senator was roasted on Twitter for this one.,politics,relevant
"The radio icon slams the ""absolutely absurd"" flaw in the system that allowed Trump to become president in the first place.",entertainment,relevant
"The two men made it official in a stunning beach ceremony that included a fireworks display set to the soundtrack of ""The Greatest Showman.""",entertainment,relevant
Republicans will spend the next two days grilling Jackson on her record. They've already signaled plans to attack her for being “soft on crime.”,politics,relevant
"“The Batman” is still going strong three weeks into its theatrical run, with a tight grip on the top spot at the box office.",entertainment,relevant
The Wyoming Republican who co-chairs the House panel also said the probe's findings will reveal new information about the insurrection on the Capitol.,politics,relevant
The heat on the train was as thick as the anxiety as Ukrainian survivors of one of the most brutal sieges in modern history fled to the safer western city of Lviv.,politics,relevant
"Russia's top diplomat had some warm words for the conservative network, whose prime-time personality Tucker Carlson has repeated pro-Kremlin talking points.",politics,relevant
https://www.huffingtonpost.com/entry/versace-black-code_us_5861fbefe4b0de3a08f600d5,fashion,non-relevant
https://www.huffingtonpost.com/entry/roseanne-revival-review_us_5ab3a497e4b054d118e04365,entertainment,non-relevant
https://www.huffingtonpost.com/entry/jk-rowling-wishes-snape-happy-birthday_us_569117c4e4b0cad15e64fdcb,entertainment,non-relevant
https://www.huffingtonpost.com/entry/advancing-the-worlds-women_b_6810038.html,fashion,non-relevant
https://www.huffingtonpost.com/entry/how-meat-is-grown-in-a-lab_us_561d1189e4b0c5a1ce607e86,animals,non-relevant
https://www.huffingtonpost.com/entry/boxed-college-tuition-ben_n_7445644.html,entertainment,non-relevant
https://www.huffingtonpost.com/entry/fridays-morning-email-inside-trumps-presser-for-the-ages_us_58a6e33ee4b07602ad53a315,entertainment,non-relevant
https://www.huffingtonpost.com/entry/airline-passengers-tackle-man-who-rushes-cockpit-in-bomb-threat_us_59302e57e4b07572bdbf9460,entertainment,non-relevant
https://www.huffingtonpost.com/entry/facebook-healthcare_n_5926140.html,entertainment,non-relevant
https://www.huffingtonpost.com/entry/jeffrey-lord-worst-comments_us_598cd410e4b09071f6989d91,entertainment,non-relevant
https://www.huffingtonpost.com/entry/barcelona-refugee-protest_us_58aa040ce4b037d17d290230,sports,non-relevant
https://www.theonion.com/cosby-lawyer-asks-why-accusers-didn-t-come-forward-to-b-1819577265,entertainment,non-relevant
https://www.theonion.com/stock-analysts-confused-frightened-by-boar-market-1819567580,animals,non-relevant
https://www.huffingtonpost.com/entry/bloomberg-philanthropies-what-works-cities-expands_us_566746f3e4b080eddf55ee73,fashion,non-relevant
https://www.huffingtonpost.com/entry/craig-hicks-indicted-chapel-hill_n_6692980.html,entertainment,non-relevant
https://www.huffingtonpost.com/entry/qatar-dutch-woman-raped_us_575eb891e4b00f97fba8cead,fashion,non-relevant
https://www.huffingtonpost.com/entry/ted-cruz-republicans-lose-congress_us_5a9f60cee4b0e9381c135ba6,entertainment,non-relevant
https://www.huffingtonpost.com/entry/why-writers-must-plan-to-_b_8672192.html,entertainment,non-relevant
https://www.huffingtonpost.com/entry/obama-veterans-day_us_564372e9e4b08cda3486f09b,entertainment,non-relevant
https://www.theonion.com/after-careful-consideration-bush-recommends-oil-drilli-1819586993,science,non-relevant
https://www.huffingtonpost.com/entry/remembrance-is-the-beginn_b_5382344.html,entertainment,non-relevant
https://www.huffingtonpost.com/entry/nemtsov-killing-motive_n_6830086.html,sports,non-relevant
https://www.huffingtonpost.com/entry/gillian-jacobs-life-partners_n_5201193.html,entertainment,non-relevant
https://www.huffingtonpost.com/entry/uber-repay-nyc-drivers-millions-tax-commission_us_59259fa0e4b00c8df2a0d702,entertainment,non-relevant
https://www.huffingtonpost.com/entry/apple-may-have-poached-electric-motorcycle-company-to-death_us_5624f1f3e4b0bce347014203,fashion,non-relevant
https://www.huffingtonpost.com/entry/drug-resistant-bacteria-often-lurk-in-childrens-dogs-sandboxes_us_5967ae43e4b03389bb15cfd6,animals,non-relevant
https://www.huffingtonpost.com/entry/if-you-see-a-muslim-at-the-airport_us_588ddf13e4b0cd25e49049d8,entertainment,non-relevant
https://www.theonion.com/giant-altoid-heading-toward-earth-1819586323,animals,non-relevant
https://www.huffingtonpost.com/entry/moana-box-office-thanksgiving_us_583b435be4b000af95ee8aa4,entertainment,non-relevant
https://www.huffingtonpost.com/entry/bud-selig-baseball_b_6007732.html,sports,non-relevant
https://www.huffingtonpost.com/entry/devin-nunes-vows-to-never-reveal-source-of-white-house-leak_us_58dae860e4b01ca7b427db5b,entertainment,non-relevant
https://www.huffingtonpost.com/entry/scott-longert-sleep-apnea-electronic-stimulation-implant-_n_5460348.html,sports,non-relevant
https://www.huffingtonpost.com/entry/medical-workers-drop-soccer-player-from-stretcher_us_56deebe5e4b0ffe6f8ea9860,sports,non-relevant
https://www.huffingtonpost.com/entry/give-the-gift-of-play-thi_b_6309948.html,fashion,non-relevant
https://www.theonion.com/christian-bale-visits-sikh-temple-victims-1819573750,entertainment,non-relevant
https://www.huffingtonpost.com/entry/sean-spicer-maternity-leave-health-care-bill_us_58d419d7e4b0f838c630a352,parenting,non-relevant
https://www.theonion.com/right-to-live-life-in-complete-stunned-horror-added-t-1819574325,entertainment,non-relevant
https://www.theonion.com/nasa-now-almost-positive-mars-is-rocky-1819573727,science,non-relevant
https://www.huffingtonpost.com/entry/diy-sports-equipment-clos_n_5420357.html,sports,non-relevant
https://www.huffingtonpost.com/entry/nyc-concert-shooting_us_57468bbbe4b03ede4413e137,entertainment,non-relevant
https://www.huffingtonpost.com/entry/donald-trump-northeast-state-polls_us_57069d07e4b0b90ac27184eb,sports,non-relevant
https://www.theonion.com/mobile-news-crew-reports-on-own-van-breaking-down-1819587345,fashion,non-relevant
https://www.huffingtonpost.com/entry/syria-humanitarian-crisis_us_59f2fbf2e4b07fdc5fbd5a75,animals,non-relevant
